20.7425
204, 2, 2
1000, 0.298541, 0.936794
2000, 0.199058, 0.777369
3000, 0.17171, 0.777369
4000, 0.139597, 0.508876
5000, 0.124294, 0.508876
6000, 0.109693, 0.508876
7000, 0.103395, 0.508876
8000, 0.102065, 0.508876
9000, 0.101124, 0.508876
10000, 0.0968683, 0.365994
11000, 0.0883747, 0.281594
12000, 0.0859904, 0.281594
13000, 0.0829125, 0.281594
14000, 0.0806748, 0.27743
15000, 0.0767097, 0.27743
16000, 0.0755322, 0.27743
17000, 0.0738545, 0.27743
18000, 0.0731828, 0.27743
19000, 0.0725145, 0.27743
20000, 0.0698359, 0.27743
21000, 0.0671661, 0.27743
22000, 0.0666217, 0.27743
23000, 0.0654457, 0.27743
24000, 0.0644128, 0.27743
25000, 0.061639, 0.27743
26000, 0.0588056, 0.27743
27000, 0.0557942, 0.27743
28000, 0.0539913, 0.27743
29000, 0.0530357, 0.27743
30000, 0.0509868, 0.27743
31000, 0.0489196, 0.27743
32000, 0.0459728, 0.232645
33000, 0.0445474, 0.232645
34000, 0.0435098, 0.232645
35000, 0.0418012, 0.232645
36000, 0.0388465, 0.232645
37000, 0.0377622, 0.232645
38000, 0.0341538, 0.2047
39000, 0.033317, 0.2047
40000, 0.0301483, 0.2047
41000, 0.0295127, 0.2047
42000, 0.0271417, 0.2047
43000, 0.0267175, 0.2047
44000, 0.0262477, 0.2047
45000, 0.0240459, 0.2047
46000, 0.0233906, 0.2047
47000, 0.0220206, 0.2047
48000, 0.0212061, 0.2047
49000, 0.0208102, 0.2047
50000, 0.0191266, 0.134782
51000, 0.0175287, 0.131726
52000, 0.0140959, 0.1224
52656, 0.013051, 0.0199608
