23.7232
271, 1.98011, 2
647, 1.96029, 2
939, 1.94043, 2
1400, 1.92063, 2
1899, 1.90071, 2
2875, 1.88079, 2
3160, 1.86081, 2
3380, 1.84089, 2
4664, 1.82101, 2
5013, 1.80116, 2
5180, 1.78117, 2
5398, 1.76124, 2
5621, 1.74142, 2
6321, 1.72151, 2
6528, 1.70168, 2
6707, 1.68186, 2
7278, 1.66192, 2
7554, 1.64195, 2
7853, 1.62208, 2
8567, 1.60221, 2
9478, 1.58234, 2
9859, 1.56247, 2
10520, 1.54259, 2
10724, 1.52278, 2
11230, 1.50294, 2
11605, 1.48306, 2
12020, 1.46324, 2
12456, 1.44338, 2
12654, 1.42358, 2
13880, 1.40367, 2
13942, 1.38386, 2
14519, 1.36398, 2
14852, 1.34413, 2
15177, 1.32429, 2
15445, 1.30449, 2
15694, 1.28459, 2
16325, 1.26477, 2
16640, 1.24494, 2
17016, 1.22498, 2
17130, 1.20514, 2
18780, 1.18533, 2
18840, 1.16539, 2
18994, 1.14557, 2
19047, 1.12573, 2
19376, 1.10586, 2
19747, 1.08595, 2
21001, 1.06615, 2
21083, 1.04632, 2
21313, 1.02645, 2
21620, 1.00661, 2
22026, 0.986725, 2
22086, 0.96692, 2
23056, 0.947097, 2
23411, 0.927191, 2
24655, 0.907268, 2
26013, 0.887381, 2
27111, 0.867551, 2
27437, 0.847634, 2
28102, 0.82773, 2
28471, 0.807902, 2
29261, 0.787983, 2
29509, 0.768075, 2
30473, 0.748251, 2
30622, 0.728384, 2
31543, 0.708509, 2
32152, 0.688686, 2
32787, 0.668804, 2
33424, 0.648998, 2
33614, 0.62919, 2
34643, 0.60932, 2
35178, 0.589471, 2
35463, 0.569605, 2
35831, 0.549794, 2
36281, 0.529985, 2
36394, 0.510027, 2
36982, 0.490094, 2
37207, 0.470227, 2
37682, 0.450335, 2
38181, 0.430381, 2
38399, 0.410567, 2
38711, 0.390668, 2
38990, 0.370855, 2
39875, 0.350944, 2
40350, 0.331058, 2
41223, 0.311198, 2
41680, 0.291377, 2
42428, 0.271452, 2
43082, 0.251571, 2
43872, 0.231708, 2
44240, 0.211907, 2
44993, 0.192103, 2
45769, 0.1723, 2
46155, 0.1524, 2
46434, 0.132563, 2
46640, 0.112683, 2
47256, 0.0927027, 2
47714, 0.0728305, 2
49137, 0.0529383, 2
50313, 0.0330791, 2
51733, 0.0131999, 0.012085
